rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,delay_category
551108,291723,mobile,ended,211.0,
551128,382939,mobile,ended,97.0,
551137,295783,connect,ended,16.0,
551227,341710,mobile,ended,159.0,
551317,283001,mobile,ended,-7.0,
551364,406062,connect,ended,34.0,
551429,277888,mobile,ended,203.0,
551695,374293,mobile,canceled,canceled,Annulé
551907,171249,mobile,ended,11.0,
552204,348625,mobile,ended,91.0,
552209,412676,mobile,ended,23.0,
552233,245154,connect,ended,4.0,
552265,408202,mobile,ended,-28.0,
552312,384045,mobile,canceled,canceled,Annulé
552330,384657,connect,ended,23.0,
552389,307335,mobile,ended,6.0,
552425,385625,connect,ended,-102.0,
552524,173061,connect,ended,-22.0,
552677,323777,mobile,ended,31.0,
552700,348673,mobile,ended,63.0,
552716,294883,mobile,ended,10.0,
552850,315136,connect,ended,40.0,
552964,384385,mobile,ended,20.0,
553153,276924,mobile,ended,5.0,
553354,401166,mobile,ended,7.0,
553356,381684,mobile,ended,-1.0,
553367,385783,mobile,ended,24.0,
553511,363658,mobile,ended,170.0,
553532,355444,connect,ended,-20.0,
553660,412936,mobile,ended,-3.0,
553726,347847,mobile,ended,-36.0,
553730,390976,connect,ended,-29.0,
553755,393972,mobile,ended,1.0,
553795,402528,connect,ended,11.0,
553959,398733,mobile,canceled,canceled,Annulé
553984,410694,mobile,ended,-148.0,
554025,293785,mobile,ended,37.0,
554508,241021,connect,ended,-37.0,
554581,406629,mobile,ended,-5.0,
554672,352631,mobile,canceled,canceled,Annulé
554695,402993,mobile,ended,17.0,
555081,311353,mobile,ended,-72.0,
555083,328013,mobile,ended,161.0,
555131,324889,mobile,ended,146.0,
555600,391519,connect,ended,-95.0,
555703,391926,connect,canceled,canceled,Annulé
555794,327585,mobile,ended,19.0,
555813,360548,mobile,ended,-26.0,
555953,407253,mobile,canceled,canceled,Annulé
555992,375774,mobile,ended,58.0,
556072,320670,mobile,ended,21.0,
556110,211860,connect,canceled,canceled,Annulé
556143,407632,mobile,ended,181.0,
556241,396767,mobile,canceled,canceled,Annulé
556267,274554,mobile,canceled,canceled,Annulé
556483,413896,mobile,ended,14.0,
556488,296213,mobile,ended,8.0,
556580,397878,mobile,ended,77.0,
556608,368275,mobile,ended,-12.0,
556696,234356,mobile,ended,59.0,
556755,395962,mobile,ended,98.0,
556986,402773,mobile,ended,23.0,
556999,406205,mobile,ended,14.0,
557296,387427,mobile,ended,7.0,
557314,383126,mobile,ended,-16.0,
557429,321400,connect,canceled,canceled,Annulé
557504,327732,mobile,ended,55.0,
557512,412816,mobile,ended,101.0,
557514,405433,mobile,ended,47.0,
557535,401623,mobile,ended,21.0,
557572,383139,mobile,ended,-85.0,
557674,375915,mobile,ended,15.0,
557681,410151,mobile,ended,122.0,
557833,351547,mobile,ended,67.0,
557913,351021,mobile,ended,-4.0,
558047,396746,mobile,ended,-25.0,
558088,245154,connect,ended,-40.0,
558250,375126,connect,ended,-4.0,
558342,400165,mobile,canceled,canceled,Annulé
558424,318867,mobile,ended,173.0,
558479,405858,mobile,canceled,canceled,Annulé
558557,410258,mobile,ended,20.0,
558561,326755,mobile,ended,72.0,
558583,326578,mobile,ended,3.0,
558709,316772,mobile,ended,102.0,
558759,368753,connect,ended,-126.0,
558974,321069,mobile,ended,-5.0,
559078,340616,connect,ended,27.0,
559084,286751,connect,canceled,canceled,Annulé
559125,297740,mobile,canceled,canceled,Annulé
559318,344677,mobile,ended,2.0,
559331,369354,mobile,ended,89.0,
559428,289720,connect,ended,-16.0,
559435,281955,mobile,ended,18.0,
559750,220877,connect,canceled,canceled,Annulé
559781,408776,mobile,ended,44.0,
559817,394117,mobile,ended,21.0,
559924,376064,mobile,ended,-3.0,
560005,301068,mobile,ended,-78.0,
560079,288452,mobile,ended,52.0,
560311,399361,mobile,canceled,canceled,Annulé
560720,404020,mobile,ended,-14.0,
560884,410068,mobile,ended,-41.0,
560886,375755,mobile,ended,84.0,
561054,387845,mobile,ended,-18.0,
561083,334859,mobile,ended,65.0,
561111,337217,mobile,ended,10.0,
561157,373726,mobile,ended,-14.0,
561269,389467,mobile,ended,-21.0,
561285,392479,mobile,ended,-40.0,
561366,305917,mobile,ended,-104.0,
561368,249274,connect,ended,-3.0,
561383,411754,connect,ended,173.0,
561408,310444,connect,ended,-54.0,
561450,192179,connect,ended,7.0,
561492,341119,connect,canceled,canceled,Annulé
561596,364996,mobile,ended,108.0,
561706,395613,mobile,ended,-38.0,
561713,414723,mobile,canceled,canceled,Annulé
561786,409238,mobile,canceled,canceled,Annulé
561819,304112,mobile,canceled,canceled,Annulé
562024,403722,mobile,canceled,canceled,Annulé
562090,404542,mobile,ended,-35.0,
562127,386382,mobile,canceled,canceled,Annulé
562173,394024,mobile,ended,73.0,
562174,381499,connect,ended,73.0,
562211,248539,mobile,canceled,canceled,Annulé
562256,392731,mobile,canceled,canceled,Annulé
562264,408060,mobile,ended,129.0,
562299,386177,mobile,canceled,canceled,Annulé
562409,410088,mobile,ended,-30.0,
562501,242546,mobile,ended,15.0,
562641,381183,mobile,canceled,canceled,Annulé
562669,393442,mobile,ended,30.0,
562807,310571,mobile,ended,-14.0,
563108,339515,mobile,ended,33.0,
563142,394272,mobile,canceled,canceled,Annulé
563157,371572,connect,ended,-83.0,
563519,225602,mobile,ended,-16.0,
563552,241021,connect,ended,25.0,
563933,347208,connect,ended,27.0,
563998,409663,mobile,ended,-47.0,
564045,381123,mobile,ended,99.0,
564094,179429,mobile,ended,4.0,
564208,361262,mobile,ended,90.0,
564269,384150,mobile,canceled,canceled,Annulé
564414,195888,mobile,ended,20.0,
564449,371530,mobile,canceled,canceled,Annulé
564466,407869,mobile,ended,10.0,
564500,382884,mobile,ended,69.0,
564521,412426,mobile,canceled,canceled,Annulé
564627,341431,mobile,canceled,canceled,Annulé
564638,394120,mobile,canceled,canceled,Annulé
564642,340833,mobile,ended,-20.0,
564694,410110,mobile,canceled,canceled,Annulé
564782,356481,mobile,canceled,canceled,Annulé
564785,399718,mobile,ended,1.0,
